"Genotypes","CIC_Morgenrot","CIC_Hadmersleben","CIC_Sollingen"
"BMW2126",-26.09648617,-27.4211016818715,-28.8400431810836
"BMW2127",-25.85636832,-27.7307635138005,-28.3409404373079
"BMW2128",-25.55107537,-27.4647514596534,-28.3388971771423
"BMW2129",-26.01747512,-27.9159862652341,-28.7100304932793
"BMW2130",-25.43673934,-27.2099096923626,-27.958186777029
"BMW2131",-25.92265605,-27.7333181386637,-28.6736256749064
"BMW2132",-25.62164192,-27.2878655985786,-28.1788967034007
"BMW2133",-25.62362597,-27.3229038133384,-28.0056160582514
"BMW2134",-25.75307221,-27.5038364534381,-28.4552146623975
"BMW2135",-25.59209227,-27.1280735794035,-28.5532421159901
"BMW2136",-25.77122772,-27.2163973070527,-28.3251540853436
"BMW2137",-25.72957665,-27.2902650186302,-28.6426012144515
"BMW2139",-26.10254993,-27.5221129752193,-28.6477939581447
"BMW2140",-26.34994854,-27.5860252039521,-28.9297318447008
"BMW2141",-25.97030583,-27.6046693306995,-28.5916251641201
"BMW2142",-25.84503378,-27.4420089262585,-28.2370078538022
"BMW2143",-25.90060844,-27.5486330851718,-28.5432666436581
"BMW2144",-26.18934143,-27.9669232620068,-28.8931650913363
"BMW2145",-25.98974167,-27.2637112175784,-28.7969312165953
"BMW2146",-25.8904921,-26.9829091353175,-28.3936892120087
"BMW2148",-25.8753443,-27.6203336069712,-28.2904344559865
"BMW2151",-25.90844951,-27.7657419170011,-28.7032094024792
"BMW2152",-25.79670296,-27.0631073477518,-28.4067613657215
"BMW2153",-25.78389364,-27.5952431870897,-28.478928695849
"BMW2154",-25.54898192,-27.1328674415616,-28.4412750222396
"BMW2155",-25.73455995,-27.3062688424194,-28.5150891199368
"BMW2156",-26.27889569,-27.2846606295868,-28.5780154399225
"BMW2157",-25.39823346,-27.036542996179,-27.9587349585219
"BMW2162",-25.38874678,-26.9055878387711,-28.0538081682009
"BMW2163",-25.49375033,-27.1319812156459,-28.1682155674349
"BMW2164",-25.79780474,-27.5955915518619,-28.2443284891038
"BMW2165",-25.92336671,-27.2679281602416,-28.6382531409185
"BMW2166",-25.56183719,-27.1397860911687,-28.5443649465495
"BMW2167",-25.46860766,-27.4338552817436,-28.3552087447904
"BMW2168",-25.49778766,-27.1657821958684,-28.5194514547116
"BMW2170",-25.89815193,-27.4969107419113,-28.5536353297432
"BMW2172",-25.85107652,-27.8633561954842,-28.2982444915976
"BMW2173",-25.44049017,-26.9110455915232,-28.334897024495
"BMW2175",-25.54978252,-27.2880243938325,-28.1810730020745
"BMW2176",-25.75301707,-27.4955851962246,-28.2217157035465
"BMW2177",-25.70209898,-27.1310537308305,-28.4164267365701
